                 Mean      Median    St.Dev.   95%CI_low   95%CI_upp
psi[62, 4]  0.4509598  0.42656307 0.28937740  0.01826535  0.97233536
psi[63, 4]  0.4913338  0.48800461 0.28912725  0.02017838  0.97419233
psi[64, 4]  0.4742194  0.46215512 0.28607554  0.01926751  0.97232357
psi[65, 4]  0.4791390  0.46638025 0.28955003  0.02290034  0.96921360
psi[66, 4]  0.4786007  0.47124311 0.28551136  0.02289724  0.97002319
psi[67, 4]  0.4525635  0.43528006 0.28157003  0.02026781  0.96080766
psi[68, 4]  0.4587583  0.43880928 0.28531749  0.01917496  0.96793983
psi[69, 4]  0.4670598  0.45538845 0.28678213  0.02377415  0.97376275
psi[70, 4]  0.5000098  0.49679672 0.28600046  0.02591146  0.97570828
psi[71, 4]  0.4766874  0.46497480 0.28602376  0.02474844  0.96879405
psi[72, 4]  0.4508045  0.42756156 0.28106501  0.01845451  0.95723525
psi[73, 4]  0.4634712  0.44650306 0.29041921  0.01774947  0.97150780
psi[74, 4]  0.4600797  0.44513533 0.28345985  0.02317176  0.96548016
psi[75, 4]  0.4545734  0.42836479 0.28459827  0.01768382  0.96520211
psi[1, 5]   0.6621570  0.69754606 0.23456396  0.15373716  0.98886929
psi[2, 5]   0.4654271  0.44913585 0.28722947  0.01914584  0.96800479
psi[3, 5]   0.4632285  0.43940583 0.28720123  0.02107644  0.96609523
psi[4, 5]   0.6697672  0.70824513 0.23172425  0.16454054  0.98442695
psi[5, 5]   0.4472925  0.41905332 0.28357286  0.02290931  0.97041673
psi[6, 5]   0.4669115  0.45124113 0.28322567  0.02414696  0.97316542
psi[7, 5]   0.4675272  0.45581387 0.28251476  0.02246217  0.96145740
psi[8, 5]   0.4750289  0.46870303 0.28666034  0.01768926  0.96831588
psi[9, 5]   0.4458551  0.42103015 0.28642455  0.01376427  0.96700687
psi[10, 5]  0.4493845  0.43074936 0.28492104  0.02207617  0.96592642
psi[11, 5]  0.6645999  0.70148268 0.23533213  0.16195426  0.98710936
psi[12, 5]  0.4361614  0.40706584 0.28532418  0.01539069  0.96379005
psi[13, 5]  0.4317410  0.40530765 0.28219270  0.02123093  0.96134218
psi[14, 5]  0.4814288  0.46309444 0.28957280  0.01820574  0.97699817
psi[15, 5]  0.4576189  0.43734769 0.28645773  0.02332165  0.96087340
psi[16, 5]  0.4740378  0.46783431 0.28429336  0.02168362  0.97122710
psi[17, 5]  0.4728615  0.46386225 0.29086061  0.02021533  0.96946020
psi[18, 5]  0.4578298  0.44748409 0.28381006  0.01899064  0.96548170
psi[19, 5]  0.4342034  0.40861391 0.27977391  0.01839510  0.96128453
psi[20, 5]  0.4602123  0.44307814 0.28268753  0.01892596  0.96507476
psi[21, 5]  0.4517986  0.42578248 0.28846259  0.02168492  0.96367342
psi[22, 5]  0.4724739  0.46025296 0.28581683  0.01962336  0.96864488
psi[23, 5]  0.4514057  0.43349763 0.28127058  0.02246175  0.95412568
psi[24, 5]  0.4505739  0.42564269 0.28476647  0.01956552  0.96306007
psi[25, 5]  0.4443334  0.42296499 0.28575731  0.01826749  0.96308457
psi[26, 5]  0.4950464  0.48899721 0.29011253  0.02377763  0.97331267
psi[27, 5]  0.4340351  0.40862332 0.28047467  0.01806247  0.96263324
psi[28, 5]  0.4454436  0.42491228 0.28336589  0.01491098  0.96227970
psi[29, 5]  0.4808996  0.47076057 0.28846837  0.02257250  0.97272659
psi[30, 5]  0.4499988  0.42949254 0.28918004  0.01732488  0.97254792
psi[31, 5]  0.4719680  0.45949290 0.29340537  0.02043293  0.97334502
psi[32, 5]  0.4891497  0.48490960 0.28527736  0.02402510  0.97135831
psi[33, 5]  0.4756185  0.45381863 0.28970776  0.01924589  0.96659152
psi[34, 5]  0.4787288  0.46843869 0.28832498  0.01971343  0.97364898
psi[35, 5]  0.4657198  0.45090356 0.28645017  0.02444377  0.96569185
psi[36, 5]  0.4643368  0.44851491 0.28899153  0.02158860  0.97105668
psi[37, 5]  0.4549302  0.43669787 0.28720581  0.01731329  0.97382922
psi[38, 5]  0.4765013  0.46415362 0.28735777  0.02244643  0.96516036
psi[39, 5]  0.4555578  0.43531531 0.28122469  0.02111384  0.97037598
psi[40, 5]  0.4676416  0.45130013 0.28792560  0.01883727  0.97174136
psi[41, 5]  0.4812663  0.47255356 0.28609016  0.02517635  0.97064457
psi[42, 5]  0.4604121  0.43726375 0.28618679  0.01940859  0.96794719
psi[43, 5]  0.4705687  0.45979678 0.28672464  0.02592262  0.96853697
psi[44, 5]  0.4688812  0.45891230 0.28212895  0.02617822  0.96409739
psi[45, 5]  0.4571540  0.43199030 0.28932939  0.01963064  0.96532330
psi[46, 5]  0.4763564  0.46952236 0.28419633  0.02279610  0.96632586
psi[47, 5]  0.4630359  0.43915468 0.28607567  0.02354730  0.96947907
psi[48, 5]  0.4853053  0.48175422 0.28657672  0.02689274  0.97751356
psi[49, 5]  0.4664251  0.44858664 0.28407973  0.02170648  0.97181663
psi[50, 5]  0.4829589  0.46777146 0.29135483  0.02109423  0.97060010
psi[51, 5]  0.4629628  0.45135735 0.28593915  0.01566293  0.96690286
psi[52, 5]  0.4566025  0.43506421 0.28689839  0.01760819  0.97229096
psi[53, 5]  0.4743966  0.45312567 0.28793745  0.02072450  0.96932812
psi[54, 5]  0.6710453  0.71157570 0.23178693  0.17015297  0.98978720
psi[55, 5]  0.4607271  0.44375569 0.28324976  0.02053995  0.96403707
psi[56, 5]  0.6626070  0.70416220 0.24089976  0.14761248  0.98865032
psi[57, 5]  0.4631852  0.43976386 0.28763754  0.01990582  0.97176298
psi[58, 5]  0.4563035  0.43663020 0.28595650  0.01661248  0.96792819
psi[59, 5]  0.4813749  0.47423508 0.28309760  0.02338365  0.96821889
psi[60, 5]  0.4802039  0.46921710 0.28904207  0.02489699  0.96868359
psi[61, 5]  0.4802741  0.47020564 0.28319752  0.02124582  0.96938116
psi[62, 5]  0.4447769  0.41788430 0.28140790  0.01570640  0.95676821
psi[63, 5]  0.4824849  0.47688359 0.28846752  0.02087285  0.97173858
psi[64, 5]  0.4952354  0.49847955 0.28968137  0.02427348  0.97539045
psi[65, 5]  0.4771058  0.46706846 0.28588639  0.02429347  0.96914601
psi[66, 5]  0.4739116  0.46022016 0.28598298  0.02568046  0.96718616
psi[67, 5]  0.4505769  0.42341539 0.28413655  0.02092538  0.96069990
psi[68, 5]  0.6615566  0.70195761 0.23966051  0.14457208  0.98557252
psi[69, 5]  0.4625210  0.44979518 0.28573041  0.01868600  0.96504457
psi[70, 5]  0.4885187  0.47834135 0.28742871  0.02319830  0.97125283
psi[71, 5]  0.4814461  0.46749956 0.29013821  0.01976245  0.97703242
psi[72, 5]  0.4344415  0.40374689 0.28242121  0.02291935  0.96895697
psi[73, 5]  0.6716098  0.71442294 0.23566687  0.15170765  0.98887509
psi[74, 5]  0.4524166  0.42642372 0.28311457  0.01988958  0.96139962
psi[75, 5]  0.6691201  0.71340638 0.23771463  0.15443973  0.98962101
Potential scale reduction factors:

           Point est. Upper C.I.
beta0            1.00       1.00
p[1]             1.00       1.00
p[2]             1.00       1.00
p[3]             1.00       1.00
p[4]             1.00       1.00
p[5]             1.00       1.00
p[6]             1.00       1.00
p[7]             1.00       1.00
p[8]             1.00       1.00
p[9]             1.00       1.00
p[10]            1.00       1.00
p[11]            1.00       1.00
p[12]            1.00       1.00
p[13]            1.00       1.00
p[14]            1.00       1.00
p[15]            1.00       1.00
p[16]            1.00       1.00
p[17]            1.00       1.00
p[18]            1.00       1.00
p[19]            1.00       1.00
p[20]            1.00       1.00
p[21]            1.00       1.00
p[22]            1.00       1.00
p[23]            1.00       1.00
p[24]            1.00       1.00
p[25]            1.00       1.00
p[26]            1.00       1.00
p[27]            1.00       1.00
p[28]            1.00       1.00
p[29]            1.00       1.00
p[30]            1.00       1.00
p[31]            1.00       1.00
p[32]            1.00       1.00
p[33]            1.00       1.00
p[34]            1.00       1.00
p[35]            1.00       1.00
p[36]            1.00       1.00
p[37]            1.00       1.00
p[38]            1.00       1.00
p[39]            1.00       1.00
p[40]            1.00       1.00
p[41]            1.00       1.00
p[42]            1.00       1.00
p[43]            1.00       1.00
p[44]            1.00       1.00
p[45]            1.00       1.00
p[46]            1.00       1.00
p[47]            1.00       1.00
p[48]            1.00       1.00
p[49]            1.00       1.00
p[50]            1.00       1.00
p[51]            1.00       1.00
p[52]            1.00       1.00
p[53]            1.00       1.00
p[54]            1.00       1.00
p[55]            1.00       1.00
p[56]            1.00       1.00
p[57]            1.00       1.00
p[58]            1.00       1.00
p[59]            1.00       1.00
p[60]            1.00       1.00
p[61]            1.00       1.00
p[62]            1.00       1.00
p[63]            1.00       1.00
p[64]            1.00       1.00
p[65]            1.00       1.00
p[66]            1.00       1.00
p[67]            1.00       1.00
p[68]            1.00       1.00
p[69]            1.00       1.00
p[70]            1.00       1.00
p[71]            1.00       1.00
p[72]            1.00       1.00
p[73]            1.00       1.00
p[74]            1.00       1.00
p[75]            1.00       1.00
psi[1, 1]        1.00       1.01
psi[2, 1]        1.00       1.00
psi[3, 1]        1.00       1.00
psi[4, 1]        1.01       1.03
psi[5, 1]        1.00       1.00
psi[6, 1]        1.00       1.00
psi[7, 1]        1.00       1.00
psi[8, 1]        1.00       1.00
psi[9, 1]        1.00       1.01
psi[10, 1]       1.00       1.01
psi[11, 1]       1.01       1.02
psi[12, 1]       1.00       1.01
psi[13, 1]       1.00       1.00
psi[14, 1]       1.00       1.00
psi[15, 1]       1.00       1.01
psi[16, 1]       1.00       1.01
psi[17, 1]       1.00       1.01
psi[18, 1]       1.00       1.01
psi[19, 1]       1.00       1.00
psi[20, 1]       1.00       1.00
psi[21, 1]       1.00       1.01
psi[22, 1]       1.00       1.00
psi[23, 1]       1.01       1.02
psi[24, 1]       1.00       1.01
psi[25, 1]       1.00       1.01
psi[26, 1]       1.01       1.02
psi[27, 1]       1.00       1.01
psi[28, 1]       1.00       1.00
psi[29, 1]       1.00       1.00
psi[30, 1]       1.00       1.00
psi[31, 1]       1.00       1.02
psi[32, 1]       1.00       1.01
psi[33, 1]       1.01       1.03
psi[34, 1]       1.00       1.00
psi[35, 1]       1.00       1.01
psi[36, 1]       1.00       1.00
psi[37, 1]       1.00       1.01
psi[38, 1]       1.01       1.03
psi[39, 1]       1.00       1.01
psi[40, 1]       1.00       1.01
psi[41, 1]       1.00       1.01
psi[42, 1]       1.00       1.00
psi[43, 1]       1.00       1.00
psi[44, 1]       1.00       1.00
psi[45, 1]       1.00       1.01
psi[46, 1]       1.01       1.02
psi[47, 1]       1.00       1.00
psi[48, 1]       1.00       1.01
psi[49, 1]       1.00       1.00
psi[50, 1]       1.00       1.00
psi[51, 1]       1.00       1.00
psi[52, 1]       1.00       1.00
psi[53, 1]       1.01       1.02
psi[54, 1]       1.00       1.01
psi[55, 1]       1.00       1.00
psi[56, 1]       1.00       1.00
psi[57, 1]       1.00       1.01
psi[58, 1]       1.00       1.00
psi[59, 1]       1.00       1.00
psi[60, 1]       1.00       1.00
psi[61, 1]       1.00       1.00
psi[62, 1]       1.00       1.01
psi[63, 1]       1.00       1.01
psi[64, 1]       1.00       1.00
psi[65, 1]       1.00       1.00
psi[66, 1]       1.00       1.00
psi[67, 1]       1.00       1.01
psi[68, 1]       1.00       1.00
psi[69, 1]       1.00       1.00
psi[70, 1]       1.00       1.00
psi[71, 1]       1.00       1.00
psi[72, 1]       1.00       1.01
psi[73, 1]       1.00       1.01
psi[74, 1]       1.00       1.02
psi[75, 1]       1.00       1.01
psi[1, 2]        1.00       1.01
psi[2, 2]        1.00       1.01
psi[3, 2]        1.00       1.00
psi[4, 2]        1.00       1.00
psi[5, 2]        1.00       1.00
psi[6, 2]        1.00       1.01
psi[7, 2]        1.00       1.01
psi[8, 2]        1.01       1.02
psi[9, 2]        1.00       1.01
psi[10, 2]       1.00       1.00
psi[11, 2]       1.00       1.01
psi[12, 2]       1.00       1.01
psi[13, 2]       1.00       1.00
psi[14, 2]       1.00       1.00
psi[15, 2]       1.00       1.01
psi[16, 2]       1.00       1.00
psi[17, 2]       1.00       1.01
psi[18, 2]       1.01       1.03
psi[19, 2]       1.00       1.01
psi[20, 2]       1.00       1.00
psi[21, 2]       1.00       1.01
psi[22, 2]       1.01       1.03
psi[23, 2]       1.00       1.00
psi[24, 2]       1.01       1.02
psi[25, 2]       1.01       1.02
psi[26, 2]       1.00       1.02
psi[27, 2]       1.00       1.01
psi[28, 2]       1.00       1.01
psi[29, 2]       1.01       1.02
psi[30, 2]       1.00       1.00
psi[31, 2]       1.00       1.01
psi[32, 2]       1.00       1.00
psi[33, 2]       1.00       1.00
psi[34, 2]       1.00       1.01
psi[35, 2]       1.00       1.00
psi[36, 2]       1.00       1.00
psi[37, 2]       1.01       1.02
psi[38, 2]       1.02       1.06
psi[39, 2]       1.00       1.01
psi[40, 2]       1.00       1.00
psi[41, 2]       1.00       1.02
psi[42, 2]       1.00       1.01
psi[43, 2]       1.00       1.01
psi[44, 2]       1.00       1.00
psi[45, 2]       1.01       1.02
psi[46, 2]       1.00       1.01
psi[47, 2]       1.00       1.01
psi[48, 2]       1.01       1.02
psi[49, 2]       1.00       1.00
psi[50, 2]       1.01       1.02
psi[51, 2]       1.00       1.00
psi[52, 2]       1.00       1.00
psi[53, 2]       1.00       1.00
psi[54, 2]       1.00       1.00
psi[55, 2]       1.00       1.00
psi[56, 2]       1.01       1.04
psi[57, 2]       1.00       1.01
psi[58, 2]       1.00       1.02
psi[59, 2]       1.01       1.04
psi[60, 2]       1.00       1.01
psi[61, 2]       1.02       1.06
psi[62, 2]       1.01       1.02
psi[63, 2]       1.00       1.01
psi[64, 2]       1.00       1.01
psi[65, 2]       1.00       1.01
psi[66, 2]       1.00       1.00
psi[67, 2]       1.00       1.01
psi[68, 2]       1.02       1.05
psi[69, 2]       1.00       1.00
psi[70, 2]       1.00       1.01
psi[71, 2]       1.00       1.01
psi[72, 2]       1.01       1.02
psi[73, 2]       1.00       1.01
psi[74, 2]       1.00       1.00
psi[75, 2]       1.00       1.00
psi[1, 3]        1.00       1.00
psi[2, 3]        1.00       1.00
psi[3, 3]        1.00       1.01
psi[4, 3]        1.00       1.00
psi[5, 3]        1.00       1.01
psi[6, 3]        1.00       1.00
psi[7, 3]        1.00       1.00
psi[8, 3]        1.01       1.03
psi[9, 3]        1.00       1.01
psi[10, 3]       1.00       1.00
psi[11, 3]       1.00       1.01
psi[12, 3]       1.00       1.00
psi[13, 3]       1.00       1.01
psi[14, 3]       1.00       1.00
psi[15, 3]       1.00       1.00
psi[16, 3]       1.00       1.00
psi[17, 3]       1.00       1.01
psi[18, 3]       1.00       1.00
psi[19, 3]       1.01       1.02
psi[20, 3]       1.01       1.03
psi[21, 3]       1.01       1.02
psi[22, 3]       1.00       1.00
psi[23, 3]       1.01       1.02
psi[24, 3]       1.00       1.01
psi[25, 3]       1.00       1.00
psi[26, 3]       1.00       1.02
psi[27, 3]       1.00       1.00
psi[28, 3]       1.00       1.00
psi[29, 3]       1.00       1.01
psi[30, 3]       1.00       1.01
psi[31, 3]       1.00       1.01
psi[32, 3]       1.00       1.00
psi[33, 3]       1.00       1.01
psi[34, 3]       1.00       1.00
psi[35, 3]       1.01       1.03
psi[36, 3]       1.00       1.01
psi[37, 3]       1.00       1.00
psi[38, 3]       1.00       1.01
psi[39, 3]       1.00       1.01
psi[40, 3]       1.00       1.00
psi[41, 3]       1.00       1.01
psi[42, 3]       1.00       1.00
psi[43, 3]       1.00       1.01
psi[44, 3]       1.00       1.00
psi[45, 3]       1.01       1.02
psi[46, 3]       1.00       1.01
psi[47, 3]       1.00       1.00
psi[48, 3]       1.00       1.01
psi[49, 3]       1.00       1.00
psi[50, 3]       1.01       1.03
psi[51, 3]       1.00       1.01
psi[52, 3]       1.00       1.00
psi[53, 3]       1.00       1.01
psi[54, 3]       1.00       1.01
psi[55, 3]       1.00       1.00
psi[56, 3]       1.00       1.01
psi[57, 3]       1.00       1.00
psi[58, 3]       1.00       1.00
psi[59, 3]       1.00       1.01
psi[60, 3]       1.00       1.00
psi[61, 3]       1.00       1.00
psi[62, 3]       1.00       1.00
psi[63, 3]       1.00       1.00
psi[64, 3]       1.01       1.02
psi[65, 3]       1.00       1.01
psi[66, 3]       1.00       1.01
psi[67, 3]       1.01       1.03
psi[68, 3]       1.00       1.00
psi[69, 3]       1.00       1.00
psi[70, 3]       1.01       1.02
psi[71, 3]       1.00       1.00
psi[72, 3]       1.00       1.00
psi[73, 3]       1.00       1.00
psi[74, 3]       1.00       1.01
psi[75, 3]       1.00       1.01
psi[1, 4]        1.00       1.00
psi[2, 4]        1.00       1.01
psi[3, 4]        1.00       1.01
psi[4, 4]        1.00       1.00
psi[5, 4]        1.00       1.00
psi[6, 4]        1.00       1.00
psi[7, 4]        1.00       1.00
psi[8, 4]        1.00       1.00
psi[9, 4]        1.00       1.01
psi[10, 4]       1.00       1.00
psi[11, 4]       1.01       1.02
psi[12, 4]       1.00       1.00
psi[13, 4]       1.00       1.01
psi[14, 4]       1.00       1.01
psi[15, 4]       1.01       1.03
psi[16, 4]       1.00       1.00
psi[17, 4]       1.00       1.00
psi[18, 4]       1.00       1.00
psi[19, 4]       1.01       1.04
psi[20, 4]       1.00       1.00
psi[21, 4]       1.00       1.00
psi[22, 4]       1.01       1.02
psi[23, 4]       1.00       1.01
psi[24, 4]       1.00       1.01
psi[25, 4]       1.00       1.01
psi[26, 4]       1.00       1.00
psi[27, 4]       1.00       1.00
psi[28, 4]       1.00       1.00
psi[29, 4]       1.00       1.01
psi[30, 4]       1.00       1.00
psi[31, 4]       1.00       1.01
psi[32, 4]       1.00       1.00
psi[33, 4]       1.00       1.00
psi[34, 4]       1.00       1.01
psi[35, 4]       1.00       1.01
psi[36, 4]       1.00       1.01
psi[37, 4]       1.01       1.02
psi[38, 4]       1.00       1.01
psi[39, 4]       1.00       1.01
psi[40, 4]       1.00       1.01
psi[41, 4]       1.00       1.02
psi[42, 4]       1.01       1.02
psi[43, 4]       1.00       1.00
psi[44, 4]       1.00       1.01
psi[45, 4]       1.00       1.00
psi[46, 4]       1.00       1.01
psi[47, 4]       1.00       1.01
psi[48, 4]       1.00       1.00
psi[49, 4]       1.00       1.01
psi[50, 4]       1.01       1.02
psi[51, 4]       1.00       1.00
psi[52, 4]       1.00       1.01
psi[53, 4]       1.00       1.01
psi[54, 4]       1.00       1.00
psi[55, 4]       1.00       1.00
psi[56, 4]       1.00       1.02
psi[57, 4]       1.01       1.03
psi[58, 4]       1.00       1.01
psi[59, 4]       1.00       1.01
psi[60, 4]       1.00       1.01
psi[61, 4]       1.00       1.02
psi[62, 4]       1.00       1.00
psi[63, 4]       1.00       1.00
psi[64, 4]       1.00       1.01
psi[65, 4]       1.01       1.02
psi[66, 4]       1.00       1.01
psi[67, 4]       1.00       1.01
psi[68, 4]       1.00       1.00
psi[69, 4]       1.00       1.01
psi[70, 4]       1.01       1.02
psi[71, 4]       1.00       1.00
psi[72, 4]       1.00       1.01
psi[73, 4]       1.00       1.00
psi[74, 4]       1.00       1.01
psi[75, 4]       1.01       1.02
psi[1, 5]        1.00       1.01
psi[2, 5]        1.01       1.02
psi[3, 5]        1.00       1.01
psi[4, 5]        1.00       1.00
psi[5, 5]        1.00       1.00
psi[6, 5]        1.00       1.00
psi[7, 5]        1.00       1.01
psi[8, 5]        1.00       1.00
psi[9, 5]        1.00       1.00
psi[10, 5]       1.00       1.01
psi[11, 5]       1.00       1.00
psi[12, 5]       1.00       1.00
psi[13, 5]       1.00       1.00
psi[14, 5]       1.00       1.01
psi[15, 5]       1.00       1.01
psi[16, 5]       1.00       1.00
psi[17, 5]       1.00       1.00
psi[18, 5]       1.00       1.00
psi[19, 5]       1.00       1.00
psi[20, 5]       1.00       1.00
psi[21, 5]       1.01       1.04
psi[22, 5]       1.01       1.02
psi[23, 5]       1.00       1.00
psi[24, 5]       1.00       1.01
psi[25, 5]       1.01       1.03
psi[26, 5]       1.00       1.01
psi[27, 5]       1.01       1.02
psi[28, 5]       1.00       1.00
psi[29, 5]       1.00       1.00
psi[30, 5]       1.00       1.00
psi[31, 5]       1.00       1.00
psi[32, 5]       1.00       1.02
psi[33, 5]       1.00       1.00
psi[34, 5]       1.01       1.03
psi[35, 5]       1.00       1.00
psi[36, 5]       1.00       1.00
psi[37, 5]       1.00       1.01
psi[38, 5]       1.00       1.00
psi[39, 5]       1.00       1.00
psi[40, 5]       1.00       1.00
psi[41, 5]       1.01       1.03
psi[42, 5]       1.00       1.00
psi[43, 5]       1.00       1.00
psi[44, 5]       1.00       1.00
psi[45, 5]       1.00       1.00
psi[46, 5]       1.01       1.03
psi[47, 5]       1.00       1.01
psi[48, 5]       1.00       1.00
psi[49, 5]       1.01       1.02
psi[50, 5]       1.00       1.01
psi[51, 5]       1.00       1.01
psi[52, 5]       1.01       1.02
psi[53, 5]       1.00       1.00
psi[54, 5]       1.00       1.00
psi[55, 5]       1.00       1.01
psi[56, 5]       1.00       1.01
psi[57, 5]       1.00       1.00
psi[58, 5]       1.00       1.01
psi[59, 5]       1.01       1.02
psi[60, 5]       1.00       1.00
psi[61, 5]       1.00       1.00
psi[62, 5]       1.00       1.01
psi[63, 5]       1.00       1.00
psi[64, 5]       1.01       1.02
psi[65, 5]       1.00       1.00
psi[66, 5]       1.00       1.01
psi[67, 5]       1.00       1.00
psi[68, 5]       1.00       1.01
psi[69, 5]       1.00       1.00
psi[70, 5]       1.00       1.01
psi[71, 5]       1.00       1.00
psi[72, 5]       1.00       1.00
psi[73, 5]       1.01       1.02
psi[74, 5]       1.00       1.01
psi[75, 5]       1.00       1.00

